,property,value
0,hadoop.http.idle_timeout.ms,60000
1,hadoop.security.dns.log-slow-lookups.threshold.ms,1000
2,hadoop.security.groups.cache.secs,300
3,hadoop.security.groups.negative-cache.secs,30
4,hadoop.security.groups.cache.warn.after.ms,5000
5,hadoop.security.groups.cache.background.reload.threads,3
6,hadoop.security.group.mapping.ldap.connection.timeout.ms,60000
7,hadoop.security.group.mapping.ldap.read.timeout.ms,60000
8,hadoop.security.group.mapping.ldap.num.attempts,3
9,hadoop.security.group.mapping.ldap.num.attempts.before.failover,3
10,hadoop.security.group.mapping.ldap.search.group.hierarchy.levels,0
11,hadoop.security.group.mapping.ldap.directory.search.timeout,10000
12,hadoop.security.uid.cache.secs,14400
13,hadoop.kerberos.min.seconds.before.relogin,60
14,io.file.buffer.size,4096
15,io.bytes.per.checksum,512
16,io.map.index.skip,0
17,io.map.index.interval,128
18,fs.trash.interval,0
19,fs.trash.checkpoint.interval,0
20,fs.ftp.host.port,21
21,fs.ftp.timeout,0
22,fs.df.interval,60000
23,fs.du.interval,600000
24,fs.s3a.connection.maximum,96
25,fs.s3a.attempts.maximum,20
26,fs.s3a.connection.establish.timeout,5000
27,fs.s3a.connection.timeout,200000
28,fs.s3a.socket.send.buffer,8192
29,fs.s3a.socket.recv.buffer,8192
30,fs.s3a.paging.maximum,5000
31,fs.s3a.threads.max,64
32,fs.s3a.threads.keepalivetime,60
33,fs.s3a.max.total.tasks,32
34,fs.s3a.executor.capacity,16
35,fs.s3a.multipart.purge.age,86400
36,fs.s3a.fast.upload.active.blocks,4
37,fs.s3a.retry.limit,7
38,fs.s3a.retry.throttle.limit,20
39,fs.s3a.committer.threads,8
40,fs.s3a.list.version,2
41,fs.s3a.connection.request.timeout,0
42,io.seqfile.compress.blocksize,1000000
43,io.mapfile.bloom.size,1048576
44,ipc.client.idlethreshold,4000
45,ipc.client.kill.max,10
46,ipc.client.connection.maxidletime,10000
47,ipc.client.connect.max.retries,10
48,ipc.client.connect.retry.interval,1000
49,ipc.client.connect.timeout,20000
50,ipc.client.connect.max.retries.on.timeouts,45
51,ipc.ping.interval,60000
52,ipc.client.rpc-timeout.ms,0
53,ipc.server.listen.queue.size,256
54,ipc.server.purge.interval,15
55,ipc.maximum.data.length,134217728
56,ipc.maximum.response.length,134217728
57,ipc.[port_number].scheduler.priority.levels,4
58,ipc.[port_number].decay-scheduler.period-ms,5000
59,ipc.[port_number].decay-scheduler.metrics.top.user.count,10
60,ipc.[port_number].weighted-cost.lockshared,10
61,ipc.[port_number].weighted-cost.lockexclusive,100
62,ipc.[port_number].weighted-cost.handler,1
63,ipc.[port_number].weighted-cost.lockfree,1
64,ipc.[port_number].weighted-cost.response,1
65,net.topology.script.number.args,100
66,file.stream-buffer-size,4096
67,file.bytes-per-checksum,512
68,file.client-write-packet-size,65536
69,file.blocksize,67108864
70,file.replication,1
71,ftp.stream-buffer-size,4096
72,ftp.bytes-per-checksum,512
73,ftp.client-write-packet-size,65536
74,ftp.blocksize,67108864
75,ftp.replication,3
76,tfile.io.chunk.size,1048576
77,tfile.fs.output.buffer.size,262144
78,tfile.fs.input.buffer.size,262144
79,hadoop.http.authentication.token.validity,36000
80,hadoop.http.cross-origin.max-age,1800
81,dfs.ha.fencing.ssh.connect-timeout,30000
82,ha.zookeeper.session-timeout.ms,10000
83,fs.permissions.umask-mode,022
84,ha.health-monitor.connect-retry-interval.ms,1000
85,ha.health-monitor.check-interval.ms,1000
86,ha.health-monitor.sleep-after-disconnect.ms,1000
87,ha.health-monitor.rpc.connect.max.retries,1
88,ha.health-monitor.rpc-timeout.ms,45000
89,ha.failover-controller.new-active.rpc-timeout.ms,60000
90,ha.failover-controller.graceful-fence.rpc-timeout.ms,5000
91,ha.failover-controller.graceful-fence.connection.retries,1
92,ha.failover-controller.active-standby-elector.zk.op.retries,3
93,ha.failover-controller.cli-check.rpc-timeout.ms,20000
94,hadoop.security.crypto.buffer.size,8192
95,hadoop.security.key.default.bitlength,128
96,hadoop.security.kms.client.authentication.retry-count,1
97,hadoop.security.kms.client.encrypted.key.cache.size,500
98,hadoop.security.kms.client.encrypted.key.cache.num.refill.threads,2
99,hadoop.security.kms.client.encrypted.key.cache.expiry,43200000
100,hadoop.security.kms.client.timeout,60
101,hadoop.security.kms.client.failover.sleep.base.millis,100
102,hadoop.security.kms.client.failover.sleep.max.millis,2000
103,ipc.server.max.connections,0
104,hadoop.registry.zk.session.timeout.ms,60000
105,hadoop.registry.zk.connection.timeout.ms,15000
106,hadoop.registry.zk.retry.times,5
107,hadoop.registry.zk.retry.interval.ms,1000
108,hadoop.registry.zk.retry.ceiling.ms,60000
109,hadoop.shell.safely.delete.limit.num.files,100
110,hadoop.caller.context.max.size,128
111,hadoop.caller.context.signature.max.size,40
112,seq.io.sort.mb,100
113,seq.io.sort.factor,100
114,hadoop.zk.num-retries,1000
115,hadoop.zk.retry-interval-ms,1000
116,hadoop.zk.timeout-ms,10000
117,fs.getspaceused.jitterMillis,60000
118,hadoop.hdfs.configuration.version,1
119,dfs.datanode.http.internal-proxy.port,0
120,dfs.datanode.handler.count,10
121,dfs.namenode.heartbeat.recheck-interval,300000
122,dfs.client.cached.conn.retry,3
